date_time,currency,Today Price,Forecasted Tomorrow Price,Price Score,Today Volume,Forecasted Tomorrow Volume,Volume Score,Today Market Cap,Forecasted Tomorrow Market Cap,Market Cap Score,Sentiment,Sentiment Score
2022-11-11 12:57:22,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 13:02:35,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 13:09:08,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 13:10:25,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 14:02:36,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 14:11:38,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 15:02:39,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 15:11:40,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 16:02:37,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 16:11:37,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 17:02:48,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 17:11:38,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 18:02:36,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 18:11:37,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 19:02:39,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 19:11:37,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 20:02:40,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 20:11:35,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 21:02:36,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 21:11:37,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 22:02:36,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
2022-11-11 22:11:39,ETH_USD,1301.5538803074423,1278.9811581946783,0%,24039423467.45047,25555855626.795193,6.31%,156380990539.85645,154206844727.66125,0%,default,
